state	min	max	mean	rates	root	lnL	lnL.p	lnL.h
100	0.064	46.365	0.570	5	NA	-104.05	0.00	-1.49
200	0.064	46.365	0.663	5	NA	-105.11	-1.98	-3.27
300	0.064	46.365	0.523	5	NA	-99.68	0.00	-0.69
400	0.064	46.365	0.523	5	NA	-99.68	0.00	-0.39
500	0.071	46.365	0.497	5	NA	-97.99	0.00	-0.69
600	0.071	46.365	0.518	5	NA	-96.70	0.00	-0.69
700	0.071	46.365	0.476	5	NA	-93.84	0.00	-0.69
800	0.076	46.365	0.470	4	NA	-99.33	-1.75	-3.50
900	0.042	46.365	0.540	5	NA	-93.41	-1.98	-3.27
1000	0.089	46.365	0.477	4	NA	-95.88	0.00	-0.69
1100	0.089	46.365	0.477	4	NA	-95.88	-1.75	-3.50
1200	0.041	46.365	0.477	5	NA	-87.38	0.00	-0.63
1300	0.041	46.365	0.477	5	NA	-87.38	0.00	-1.67
1400	0.089	46.365	0.477	4	NA	-95.88	0.00	0.00
1500	0.048	46.365	0.518	5	NA	-87.75	0.00	-0.67
1600	0.048	46.365	0.455	5	NA	-87.19	0.00	0.69
1700	0.048	46.365	0.518	5	NA	-87.75	0.00	-1.68
1800	0.048	46.365	0.455	5	NA	-87.19	0.00	-0.80
1900	0.048	46.365	0.516	5	NA	-88.22	0.00	-0.05
2000	0.048	46.365	0.481	5	NA	-90.38	0.00	-0.01
2100	0.048	46.365	0.452	5	NA	-87.66	-1.98	-3.27
2200	0.048	46.365	0.516	5	NA	-88.22	0.00	-0.62
2300	0.038	46.365	0.448	6	NA	-87.15	0.00	-0.45
2400	0.038	46.365	0.444	6	NA	-86.70	0.00	-1.63
2500	0.038	46.365	0.444	6	NA	-86.70	0.00	-0.69
2600	0.040	46.365	0.444	5	NA	-87.55	-1.98	-3.27
2700	0.045	46.365	0.449	5	NA	-87.52	0.00	-0.69
2800	0.045	46.365	0.513	5	NA	-88.02	0.00	-1.76
2900	0.045	46.365	0.520	5	NA	-87.08	0.00	-0.94
3000	0.063	46.365	0.520	4	NA	-93.19	0.00	0.00
3100	0.063	46.365	0.456	4	NA	-92.38	0.00	0.00
3200	0.063	46.365	0.456	4	NA	-92.38	0.00	-0.33
3300	0.063	46.365	0.520	4	NA	-93.19	0.00	-0.13
3400	0.063	46.365	0.456	4	NA	-92.38	0.00	-0.69
